町丁目,総世帯数,総人口,総男,総女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
下高井戸五丁目,1660,3076,1475,1601,11,7,8,12,11,12,5,9,15,10,7,12,11,10,13,9,9,9,9,13,9,7,10,9,10,5,13,8,12,10,18,10,7,16,22,12,12,13,11,12,19,17,24,19,18,16,18,16,27,29,19,24,22,31,20,25,26,25,16,17,25,15,16,18,22,15,22,24,19,30,15,27,17,17,14,14,21,18,27,16,21,22,16,16,17,19,22,26,22,22,16,18,24,30,21,17,18,25,23,28,31,23,20,19,21,27,33,26,27,19,17,25,24,25,27,28,20,23,17,23,22,28,21,17,17,18,14,23,18,17,17,15,16,11,15,19,15,10,14,13,12,10,10,13,18,16,14,19,21,23,17,28,9,12,15,19,12,17,15,12,14,15,9,11,5,14,8,13,8,13,13,14,9,21,5,11,4,14,5,8,5,7,3,11,1,8,4,2,2,6,0,8,1,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福一丁目,1895,3249,1572,1677,12,15,7,15,10,9,14,11,6,15,15,11,13,10,8,13,9,10,11,7,13,7,6,11,8,7,16,12,8,8,14,12,13,10,11,2,12,16,32,20,47,33,33,37,32,35,29,26,35,28,20,30,40,26,17,27,25,31,21,25,32,26,25,23,15,20,20,25,32,25,19,25,28,30,21,20,24,34,22,26,21,18,28,23,22,15,33,24,22,21,22,26,31,36,29,30,22,27,28,26,21,18,27,31,21,22,17,26,25,22,20,26,24,14,17,25,16,15,20,17,17,11,15,20,16,17,14,10,11,12,8,11,19,21,16,18,14,19,14,14,18,8,11,14,15,10,16,20,16,20,11,24,4,12,7,15,9,15,12,8,9,13,6,12,7,7,5,17,5,9,3,11,4,10,6,9,4,7,6,9,1,4,5,9,3,9,2,6,2,3,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福二丁目,2457,4770,2222,2548,21,12,9,29,17,15,20,27,28,27,22,24,16,23,20,22,18,15,16,21,21,24,22,19,21,23,18,25,19,17,19,21,19,20,18,8,20,18,23,29,24,27,21,29,27,33,33,35,24,49,33,42,39,43,36,49,35,48,38,49,37,33,30,31,31,27,32,31,35,39,38,32,27,38,30,29,28,39,37,37,40,36,25,40,34,30,37,30,36,40,28,32,34,35,37,45,38,39,30,44,36,32,28,45,30,36,36,41,30,27,30,28,23,28,26,29,35,31,18,30,32,24,26,24,27,23,19,27,29,17,14,26,20,21,22,23,19,26,22,31,26,33,20,18,30,38,30,31,21,26,21,30,18,19,10,25,16,15,21,25,12,11,12,18,12,15,15,11,11,10,4,9,13,17,9,13,5,14,2,7,8,8,5,7,2,11,4,9,3,6,1,6,2,5,5,5,0,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福三丁目,2386,4091,1922,2169,15,9,13,7,9,6,8,13,7,18,9,5,7,9,15,12,14,13,12,9,16,12,14,12,9,8,20,12,11,14,11,9,15,10,8,14,13,11,16,20,25,23,23,25,27,32,37,44,24,45,34,44,38,35,38,45,24,23,30,33,23,33,30,27,28,25,31,32,21,26,30,24,19,29,30,23,25,27,18,29,26,25,19,26,18,26,19,33,25,29,32,29,30,26,32,36,38,39,32,28,27,29,36,35,33,32,23,27,38,33,33,33,21,29,34,36,26,38,25,31,19,30,16,23,30,37,20,20,28,17,16,25,22,22,28,16,23,12,14,23,18,25,18,24,28,14,24,41,19,33,34,35,13,16,16,18,10,24,22,18,15,20,11,26,15,17,13,14,10,20,12,11,11,17,9,17,6,14,12,7,7,14,2,10,4,11,6,3,0,8,4,4,0,4,1,8,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福四丁目,2143,3672,1720,1952,17,13,16,14,20,7,24,14,13,16,15,19,8,20,10,10,7,22,11,6,12,6,11,14,9,8,9,8,6,8,19,8,11,15,7,4,14,12,26,14,20,18,15,18,23,24,29,31,34,39,30,36,26,37,34,52,27,42,33,38,25,32,46,30,21,30,21,23,30,38,30,40,26,20,31,26,32,38,23,29,28,29,23,20,26,30,22,26,24,25,24,28,31,19,22,23,20,34,26,38,37,34,21,38,24,26,30,27,23,19,19,21,28,16,17,30,28,21,23,27,21,26,22,25,18,22,15,17,9,23,16,20,17,11,14,17,12,14,17,17,9,17,15,17,19,22,21,16,19,18,17,28,12,9,12,13,13,16,8,23,10,19,16,13,8,11,9,10,5,9,5,12,10,13,7,17,7,11,1,12,2,4,4,6,2,8,2,6,2,7,3,4,1,7,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山一丁目,2033,3945,1812,2133,6,7,9,13,18,14,14,19,12,6,14,13,15,18,14,12,12,9,12,14,18,10,11,6,17,11,16,13,15,13,12,20,15,12,9,15,19,23,15,18,18,26,29,19,26,22,23,33,18,28,17,32,23,41,15,21,20,26,22,24,10,32,30,24,13,17,23,24,18,22,21,25,19,31,26,28,26,18,18,33,30,22,18,19,13,33,30,30,21,32,21,15,18,25,24,21,27,46,27,39,38,38,38,36,27,32,30,37,33,34,44,38,21,25,26,34,23,26,24,28,29,38,21,32,25,26,30,28,21,36,31,30,32,27,29,24,22,27,26,22,28,26,23,22,19,22,24,24,25,34,26,31,12,10,9,27,25,19,19,12,16,26,11,15,15,18,10,17,9,22,9,10,5,9,6,10,6,15,2,7,6,11,4,8,5,7,4,10,1,6,1,9,1,4,0,0,2,1,1,1,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山二丁目,1357,2549,1185,1364,7,3,9,4,7,4,8,9,14,6,6,8,11,10,9,9,9,7,8,5,8,11,9,9,17,7,6,4,10,15,11,10,13,18,12,5,14,14,13,15,9,14,22,12,19,19,19,18,17,18,13,11,11,17,9,23,13,35,16,20,8,18,9,11,10,11,9,15,11,14,11,15,10,18,16,14,16,19,16,11,17,14,12,15,11,22,17,9,12,14,14,15,12,14,13,17,24,16,30,31,15,25,11,24,25,30,28,30,25,20,24,27,19,23,22,16,20,16,22,22,16,19,15,11,13,26,9,15,18,13,17,13,13,13,9,20,15,12,11,14,6,13,12,14,8,16,18,18,19,16,9,17,6,8,11,17,12,17,10,10,7,13,12,17,12,13,7,14,16,10,5,9,8,8,4,14,8,6,3,6,5,8,4,6,1,6,1,3,3,4,1,7,0,4,2,3,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山三丁目,2390,4402,1968,2434,15,21,12,19,22,13,20,17,22,12,24,18,20,14,16,17,14,11,21,15,19,15,13,19,13,16,10,22,16,12,19,14,11,13,16,17,15,11,16,14,18,12,27,12,18,19,18,31,28,31,21,32,30,47,23,36,32,37,28,37,27,44,27,24,22,42,23,27,23,32,29,38,30,31,25,34,34,47,28,37,18,40,31,31,33,35,36,33,24,38,44,51,31,35,36,50,32,40,27,57,39,46,38,41,30,35,35,29,35,37,34,42,20,37,36,54,31,37,31,41,19,28,21,22,27,30,21,35,20,22,24,23,23,18,19,27,19,26,21,22,17,23,15,25,23,24,24,21,23,23,13,25,13,21,7,16,16,13,12,21,11,24,16,18,9,16,9,18,6,14,8,10,9,14,7,16,5,13,6,10,8,9,2,7,1,8,3,9,2,5,2,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山四丁目,2898,5797,2651,3146,16,20,23,17,23,24,26,24,27,22,25,24,29,33,22,29,24,18,29,36,26,28,29,25,27,27,23,25,31,25,26,26,23,23,21,21,24,20,28,27,28,26,30,34,26,41,32,34,30,44,24,50,26,40,27,37,31,43,33,44,25,34,29,28,41,33,26,41,26,40,35,37,19,35,38,37,39,39,43,50,44,49,38,46,41,55,39,49,39,39,41,44,42,44,55,55,40,57,46,64,58,60,39,68,46,39,36,47,50,56,54,48,27,40,64,41,30,45,36,41,45,43,37,45,27,26,38,46,40,29,28,25,24,32,18,27,22,21,18,19,23,36,35,34,20,42,34,29,30,25,34,42,19,23,21,26,20,34,19,24,14,26,15,35,11,12,6,18,9,20,12,21,8,16,14,14,9,12,6,11,5,10,5,17,4,12,3,13,2,7,0,8,1,5,0,4,0,3,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和田一丁目,5351,8938,4241,4697,38,35,48,33,35,36,33,28,33,43,42,33,39,32,37,32,37,33,32,19,36,27,35,27,21,26,34,23,33,25,36,29,33,25,31,19,25,33,31,59,39,56,41,54,48,67,63,85,91,103,76,94,70,88,83,99,81,100,73,85,103,81,62,84,57,88,64,75,98,97,68,69,83,80,72,77,90,72,76,69,59,68,61,62,81,69,63,65,63,76,72,82,67,64,80,82,56,63,70,65,60,60,68,74,62,66,72,66,71,52,58,61,32,55,56,58,51,61,47,52,29,34,37,35,33,30,31,44,30,36,35,30,40,41,42,39,28,30,34,36,30,42,33,29,40,48,35,44,55,51,33,55,16,24,18,24,25,36,28,37,27,33,23,41,17,27,26,30,12,28,18,24,22,28,11,36,14,24,8,33,8,18,3,17,8,20,7,13,3,4,2,8,0,5,0,9,3,5,0,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
