町丁目,総世帯数,総人口,総男,総女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
和田二丁目,2432,4194,2045,2149,15,15,21,15,20,18,19,14,18,10,17,21,17,16,24,21,15,13,25,15,20,18,15,20,16,21,11,16,15,11,14,17,12,15,12,10,11,11,18,14,13,19,18,18,22,24,17,35,32,30,28,44,31,31,27,39,29,30,37,35,25,20,24,25,32,29,32,28,32,20,22,39,29,39,37,18,26,29,41,22,37,37,36,35,21,27,33,21,32,30,36,27,44,31,34,20,20,25,33,36,29,37,29,35,34,35,28,31,31,24,26,26,18,16,29,28,32,31,26,35,28,31,31,9,21,22,15,16,16,25,21,23,23,17,22,19,27,14,25,21,16,28,20,20,22,20,20,29,23,21,21,19,17,21,12,20,18,16,20,18,16,15,18,19,8,23,8,18,4,20,14,19,15,23,10,24,6,20,5,22,5,15,7,11,3,11,6,6,3,5,0,6,0,4,0,2,0,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和田三丁目,4032,6547,3186,3361,16,21,20,26,19,18,22,24,22,19,22,24,22,22,20,25,20,32,29,26,21,23,23,19,24,17,18,18,21,17,15,18,27,13,16,13,15,16,18,12,13,23,21,27,27,28,59,52,52,54,70,69,67,81,45,76,71,72,69,60,47,55,50,58,67,52,51,52,50,47,53,47,57,48,62,60,56,42,57,51,64,58,74,47,57,47,52,59,54,55,56,54,55,52,38,57,50,55,59,52,56,53,51,53,43,49,40,37,50,47,42,51,22,36,33,39,33,51,47,37,33,40,41,45,27,42,33,40,36,27,32,33,33,29,22,25,23,27,35,30,39,34,37,32,21,26,36,24,40,36,34,27,15,19,12,24,17,32,18,19,14,31,17,36,20,11,14,19,10,22,17,19,22,23,10,24,9,21,7,24,8,22,7,8,5,5,5,12,4,4,2,7,0,4,1,6,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堀ノ内一丁目,2551,4332,2054,2278,14,15,17,11,14,12,10,13,13,16,16,21,23,16,15,20,18,15,9,17,14,21,14,12,19,15,19,19,15,18,21,7,12,13,18,11,11,16,12,18,10,18,16,21,17,21,22,31,24,36,41,34,23,43,44,44,43,40,31,34,27,35,41,34,24,28,28,33,32,41,31,42,42,36,31,37,32,26,32,35,35,42,30,27,37,22,38,43,41,47,39,49,39,28,39,49,31,42,39,47,28,35,35,41,33,32,39,35,32,35,36,32,26,24,30,30,31,22,28,22,15,20,19,14,24,27,21,19,14,16,18,17,21,21,13,17,21,23,22,21,16,18,27,24,13,19,24,27,27,20,23,26,10,14,9,18,13,19,10,26,15,19,16,19,9,17,4,10,11,13,13,18,9,19,6,10,8,11,8,10,1,7,7,9,1,5,1,7,1,4,1,7,0,5,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堀ノ内二丁目,4032,7441,3668,3773,33,32,26,20,32,32,34,35,28,26,36,37,41,23,37,34,27,29,34,27,21,24,36,25,31,28,31,27,27,23,27,33,23,32,23,29,32,26,26,33,26,34,41,37,46,37,52,52,63,56,60,60,58,43,50,59,56,50,55,50,44,53,53,57,41,51,54,54,57,51,56,56,53,59,70,59,53,60,49,66,57,64,51,56,62,51,56,65,83,41,54,72,49,61,47,72,71,53,60,56,68,83,68,53,49,62,84,67,65,56,69,59,37,40,67,47,46,37,47,46,38,50,54,39,43,37,27,36,36,41,30,29,40,31,34,38,35,33,23,26,35,27,32,38,33,37,29,39,54,45,32,38,24,33,22,31,24,38,23,34,20,29,21,27,21,30,12,25,14,20,10,21,19,19,14,25,6,15,8,20,8,12,5,5,4,8,3,8,2,9,1,6,0,4,0,5,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堀ノ内三丁目,4389,7102,3472,3630,18,23,19,11,15,22,18,13,17,17,29,18,23,23,16,18,33,23,17,19,21,18,24,18,18,21,24,19,25,12,31,18,18,14,24,22,21,16,22,22,28,43,32,34,40,58,67,62,87,58,88,70,72,65,69,79,75,72,43,55,66,81,56,54,60,51,60,45,66,57,43,61,38,48,61,43,43,46,65,55,45,54,60,44,61,35,48,57,57,57,57,52,57,40,45,55,55,46,42,55,50,46,60,51,52,53,45,43,51,47,49,45,40,43,55,35,31,37,41,48,39,33,34,37,40,44,36,31,30,31,40,25,28,31,32,34,30,27,37,41,36,35,26,39,37,29,48,59,44,45,32,52,14,24,20,38,29,45,28,48,32,47,31,39,22,40,16,25,16,36,15,20,11,41,17,27,14,23,14,22,9,19,1,24,3,14,8,14,3,8,4,12,2,2,0,8,0,6,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松ノ木一丁目,811,1566,832,734,6,5,10,3,12,3,8,9,8,12,8,7,12,7,15,7,7,8,8,10,6,8,5,13,8,3,6,5,8,3,5,7,8,3,7,5,2,5,5,6,6,5,12,9,9,4,12,4,3,8,13,6,11,14,6,9,18,6,14,11,11,9,10,12,9,11,22,15,11,6,14,8,14,10,13,9,11,15,18,8,13,19,20,9,14,14,11,10,16,8,12,10,11,10,19,16,10,15,17,11,17,11,15,9,15,14,11,12,17,11,13,13,8,4,20,12,10,4,8,11,10,6,8,8,9,7,11,3,8,3,4,11,6,6,5,1,7,6,5,3,5,2,3,3,6,5,7,9,5,11,4,13,4,5,7,8,8,6,6,8,5,11,5,3,2,7,4,2,2,6,3,3,2,7,2,5,1,10,2,5,2,3,1,5,3,2,0,4,0,1,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松ノ木二丁目,1491,2775,1344,1431,11,4,15,12,9,11,11,12,16,10,10,13,13,10,6,15,11,9,16,6,10,11,15,10,13,14,8,15,16,11,13,8,15,7,11,14,10,14,11,13,10,12,16,16,19,8,17,16,26,23,16,13,19,19,14,20,22,24,21,6,29,28,20,14,20,19,12,21,13,19,22,20,21,24,22,17,24,16,20,23,22,20,17,23,24,20,19,21,16,17,21,19,26,19,28,21,24,20,19,30,24,32,18,24,30,26,30,21,24,17,20,28,16,14,18,21,18,19,18,20,8,13,17,9,8,10,8,18,11,10,6,16,12,11,13,7,11,10,10,18,5,16,12,21,11,20,12,14,14,19,9,16,10,9,9,12,13,15,7,15,4,15,11,11,13,9,7,13,10,9,7,10,9,9,4,8,1,9,4,8,5,6,0,9,1,9,2,4,0,4,1,2,0,2,3,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松ノ木三丁目,1855,3018,1472,1546,8,7,13,7,11,7,9,7,11,3,10,8,16,8,10,12,6,12,6,10,15,11,8,5,7,6,9,9,12,5,5,7,5,3,10,11,9,11,9,12,9,7,8,16,14,17,21,25,20,29,36,41,27,24,24,25,29,24,24,32,31,28,22,23,27,25,34,35,22,25,11,20,22,24,30,23,33,18,24,23,27,25,30,21,28,26,35,22,26,26,20,30,21,32,26,27,20,24,31,25,24,27,20,25,23,29,27,21,14,14,25,21,20,16,16,19,16,14,16,17,11,11,16,16,10,21,14,14,13,18,9,14,13,17,17,9,22,17,13,17,16,15,8,15,14,19,23,21,19,17,23,22,8,9,8,10,15,18,12,15,8,5,7,8,6,11,4,8,5,9,9,9,3,6,0,7,6,12,4,8,4,11,4,8,1,3,3,3,0,7,0,2,1,1,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大宮一丁目,1210,2070,1023,1047,2,6,7,7,5,6,4,6,6,6,5,6,5,5,6,6,4,8,9,6,11,2,4,7,11,3,5,8,11,5,2,8,4,8,11,5,5,9,7,11,9,11,11,11,7,8,11,11,12,12,18,18,7,16,15,19,20,15,14,21,21,19,15,17,19,18,15,8,20,15,15,22,18,11,14,18,16,16,11,8,14,16,17,14,16,17,13,20,16,12,25,16,14,16,21,17,19,13,17,20,18,15,25,18,15,11,26,13,18,17,20,16,13,9,14,12,14,15,15,13,9,13,10,13,10,10,14,14,9,6,10,12,13,5,11,8,6,6,3,9,12,11,12,14,10,10,8,15,14,10,16,14,9,8,10,3,11,18,9,9,3,10,4,11,6,15,9,12,5,7,4,9,3,5,5,4,2,6,6,6,3,7,0,3,1,2,2,4,0,5,1,2,1,3,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大宮二丁目,842,1516,688,828,3,2,14,7,5,7,4,5,3,5,5,6,7,6,6,5,9,6,8,2,2,3,4,9,3,2,2,4,6,9,2,4,4,3,1,9,3,8,11,7,9,9,5,2,14,14,6,9,11,10,14,9,9,9,8,9,12,13,12,17,11,9,12,7,7,10,5,5,7,12,11,9,5,6,8,14,6,14,13,7,11,14,11,14,13,16,11,9,12,7,9,11,9,12,8,7,8,12,9,13,2,14,7,22,7,9,14,12,18,12,12,11,4,12,15,16,13,10,8,5,3,7,14,13,9,8,9,13,7,11,10,10,3,7,7,8,3,8,6,10,5,7,11,6,5,7,9,11,10,11,14,9,5,6,5,5,4,6,7,12,11,11,5,11,4,6,3,6,6,10,3,10,1,5,3,8,1,7,3,6,3,6,2,6,3,3,2,4,2,1,0,3,2,2,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梅里一丁目,2241,3263,1572,1691,13,12,7,6,4,8,4,2,7,14,8,6,11,7,4,6,4,5,5,7,1,9,7,7,12,6,4,4,7,9,5,6,4,6,7,5,5,1,7,10,7,9,16,15,20,25,24,35,27,41,39,37,40,31,37,48,36,28,34,24,32,40,30,27,23,21,24,28,38,38,27,29,27,25,30,25,25,22,36,27,34,21,30,37,41,19,32,19,29,23,25,24,26,30,23,28,25,14,22,25,19,17,27,36,14,33,12,18,26,20,23,14,17,21,23,26,22,18,30,26,17,24,15,18,19,18,12,12,11,16,16,19,12,9,17,16,13,9,13,13,19,13,18,17,19,20,18,21,13,19,19,25,12,10,8,12,13,26,13,19,8,23,10,9,9,12,4,13,6,10,5,19,6,11,2,13,4,12,7,9,2,4,4,11,3,7,4,4,3,5,0,3,0,1,0,3,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梅里二丁目,3297,5097,2383,2714,15,10,11,18,24,14,18,16,18,15,12,12,16,11,16,12,9,17,6,15,12,15,8,8,11,12,12,15,9,7,11,15,11,3,12,9,10,22,11,12,19,11,15,30,30,37,31,37,37,44,45,55,41,63,49,62,43,67,46,52,45,59,46,61,44,34,46,40,36,40,37,44,38,44,35,29,43,36,41,41,44,40,41,37,40,39,44,42,43,48,55,40,42,47,42,37,45,46,49,36,38,53,45,35,39,40,44,46,32,36,29,34,31,27,33,42,30,33,29,46,34,36,25,26,22,23,18,24,24,32,17,22,23,16,22,21,21,18,20,15,18,36,22,31,26,32,31,26,26,34,31,29,16,19,18,17,24,22,12,34,16,20,17,15,7,22,8,18,11,21,11,25,4,16,8,15,4,12,9,18,7,8,4,18,4,9,3,7,3,10,1,7,1,3,0,4,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺南一丁目,4397,6380,3188,3192,13,14,21,17,19,14,21,12,8,15,24,16,13,16,16,10,17,14,19,18,12,15,12,10,16,4,13,17,15,16,9,11,16,15,12,9,18,12,18,16,24,22,34,38,40,58,60,48,65,71,93,93,76,85,88,87,72,73,93,70,73,63,67,60,61,54,68,55,55,58,63,51,65,61,54,52,62,59,59,60,55,44,66,39,50,54,62,50,53,44,74,48,61,38,51,55,52,48,47,42,61,53,45,60,39,48,53,43,38,48,40,36,33,28,34,36,39,41,38,41,31,27,31,37,26,22,26,29,33,25,21,32,26,26,34,24,11,26,26,24,25,25,23,33,20,31,32,39,21,31,28,28,11,25,17,22,18,24,20,35,18,23,15,27,11,25,10,8,10,21,11,23,9,18,11,9,12,14,5,16,7,16,2,12,4,9,1,5,4,6,1,3,0,2,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺南二丁目,4890,6914,3369,3545,18,21,17,26,17,12,15,20,15,14,16,13,10,10,10,19,9,12,10,11,11,14,6,15,10,6,10,13,7,11,13,18,6,8,8,9,10,17,21,17,22,27,24,39,38,52,53,86,59,68,96,101,76,93,108,89,83,98,86,86,89,91,92,83,68,70,68,63,58,61,80,65,87,57,76,59,88,67,88,55,66,66,58,50,56,64,60,43,46,49,58,57,55,53,58,72,58,59,52,57,62,59,52,47,58,54,44,49,64,45,45,41,37,41,41,46,35,41,40,33,35,31,32,29,24,22,24,22,28,25,31,21,18,25,22,29,24,20,19,21,21,24,29,22,40,34,28,34,28,50,31,36,11,27,16,22,20,15,25,25,25,33,16,33,14,21,12,23,8,27,9,14,13,19,15,22,4,24,4,9,2,11,4,12,4,6,1,7,4,7,1,1,0,4,2,7,2,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺南三丁目,5036,7430,3790,3640,26,14,25,12,27,10,23,18,14,18,11,20,19,16,11,28,16,18,21,13,23,16,13,21,13,18,15,18,12,18,21,15,18,17,13,19,20,22,25,18,32,16,31,32,45,46,76,53,63,71,86,92,89,74,77,77,81,90,89,68,107,69,82,78,99,62,78,47,68,73,78,58,75,63,73,79,73,65,68,50,69,68,78,56,71,53,69,59,69,63,78,49,58,66,59,68,75,57,50,48,66,57,43,54,62,67,64,59,47,45,46,44,41,34,55,42,52,45,45,24,31,39,41,32,43,39,40,25,34,41,31,30,26,24,30,32,27,38,38,23,18,35,27,32,34,34,31,37,32,38,36,36,18,31,15,27,25,28,19,34,14,41,22,24,20,28,17,30,15,25,13,19,13,24,9,15,9,15,8,15,3,16,5,13,6,8,4,9,1,5,0,8,0,5,0,9,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺南四丁目,2967,4174,2088,2086,12,9,10,8,13,12,9,9,9,9,13,14,8,9,8,13,11,7,4,9,7,7,5,6,11,7,6,4,6,6,5,8,3,4,5,8,11,7,11,9,11,14,14,29,29,24,23,30,40,33,49,54,61,46,48,59,50,38,50,39,47,47,45,37,31,29,41,48,37,32,39,40,45,41,39,35,37,30,56,53,40,36,34,34,43,42,50,41,41,41,51,30,43,40,43,45,34,44,34,23,39,39,40,33,33,26,27,24,33,32,34,20,28,20,33,30,29,25,23,20,20,19,23,18,18,22,23,18,19,20,15,15,14,21,19,20,15,10,10,12,24,10,20,22,21,19,9,20,21,18,17,32,12,10,11,11,14,15,7,17,11,15,7,13,7,16,6,13,6,12,6,9,3,16,6,11,2,12,5,6,3,7,1,7,1,6,0,5,1,2,0,4,0,3,0,7,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺南五丁目,4107,6482,3372,3110,16,15,21,15,18,21,15,22,31,21,21,20,20,18,31,32,18,17,14,11,20,26,18,28,11,11,18,12,17,20,15,24,12,16,17,20,18,17,25,23,37,30,48,28,44,43,50,38,61,57,82,63,68,72,77,60,81,71,75,58,83,62,76,64,89,45,74,50,56,50,50,45,71,48,65,47,55,44,56,61,62,52,59,52,62,40,75,48,57,49,59,53,54,56,57,49,58,47,60,51,49,44,52,36,49,49,42,41,46,45,62,57,41,43,51,45,49,33,33,31,40,30,40,31,35,34,23,23,32,18,14,22,37,24,26,18,20,32,26,23,19,27,22,12,20,28,18,25,33,38,26,25,15,15,11,22,18,19,14,30,24,27,14,19,11,15,12,29,8,28,9,27,10,24,13,14,4,12,8,15,6,11,2,9,2,11,2,4,4,5,0,7,0,2,1,4,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺北一丁目,1573,2493,1307,1186,3,4,7,5,8,5,5,4,6,4,8,9,10,12,10,8,12,4,11,5,8,7,4,13,13,4,8,9,5,8,9,4,11,5,11,8,7,6,9,7,10,11,19,19,21,19,20,22,23,18,21,21,24,24,24,20,29,16,33,17,23,16,27,24,23,21,20,11,32,18,27,14,19,8,17,21,28,18,21,22,29,25,16,13,17,25,24,14,20,21,22,17,20,19,20,20,25,13,33,17,30,13,10,18,20,17,12,21,17,14,18,24,12,8,21,14,25,17,12,15,17,16,14,13,13,7,20,5,9,9,14,10,5,14,11,7,6,16,8,9,10,5,9,7,14,17,15,14,11,11,10,15,11,9,8,6,8,8,5,13,10,14,5,6,10,12,5,9,5,6,7,13,1,12,4,8,1,10,7,7,2,4,2,9,0,5,1,3,0,5,0,4,0,3,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺北二丁目,3100,4255,2219,2036,8,12,11,10,7,6,12,8,12,7,13,7,10,6,12,8,8,6,5,10,8,5,9,6,6,7,7,1,9,10,4,9,12,6,8,3,6,8,15,8,23,19,17,15,37,27,36,33,42,59,65,55,47,59,67,51,61,51,56,46,59,43,43,41,55,37,39,35,50,34,41,27,39,36,34,41,56,39,59,42,43,26,52,26,45,39,41,33,28,33,39,28,35,36,42,36,42,42,43,36,42,45,41,39,34,37,38,33,25,21,36,26,22,13,23,25,34,24,20,13,15,15,17,19,19,20,29,21,9,12,17,10,17,16,13,17,13,15,14,8,14,11,13,18,10,19,20,23,8,24,16,27,9,13,15,15,13,16,16,10,9,16,10,19,10,17,7,7,7,8,9,9,5,15,9,10,5,7,4,11,2,5,4,3,1,11,1,5,4,4,0,4,1,4,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺北三丁目,3898,5614,2938,2676,13,12,20,18,18,13,10,12,15,21,17,15,22,14,26,8,13,15,15,12,9,13,10,12,15,9,11,16,8,9,15,9,8,17,11,12,10,12,23,17,15,18,40,28,39,42,34,45,75,63,68,69,72,61,63,61,79,62,72,63,67,50,57,47,62,50,52,49,56,55,55,29,43,49,71,57,74,61,64,49,53,43,49,47,63,48,57,51,45,35,60,29,52,50,52,39,49,45,52,54,48,36,52,45,48,42,41,24,42,26,30,24,29,30,34,26,31,20,41,23,27,23,24,22,23,19,29,27,19,16,17,19,23,18,23,22,17,17,13,19,22,25,25,18,24,27,16,28,30,30,27,22,19,16,16,16,22,24,16,26,19,22,16,24,15,19,7,11,6,23,7,20,14,7,10,18,10,12,10,16,3,11,5,7,2,8,2,5,2,3,2,7,1,6,0,4,0,2,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高円寺北四丁目,2273,3506,1753,1753,16,13,8,10,10,12,6,5,9,9,10,10,6,6,7,10,11,12,12,15,10,12,5,9,14,10,5,6,8,16,12,6,11,5,10,6,7,10,10,7,5,20,19,21,17,22,37,22,51,33,35,36,35,28,38,38,28,44,38,34,40,24,35,33,26,19,32,32,36,32,34,30,27,27,32,26,29,25,34,21,23,23,36,26,27,33,41,29,42,33,19,35,40,38,21,19,37,25,31,17,26,28,28,25,31,19,33,34,26,26,26,20,15,17,23,28,24,17,19,24,22,13,13,17,13,11,18,16,26,17,12,14,11,9,17,12,9,16,7,14,12,13,21,20,17,18,19,24,21,22,16,26,7,10,9,14,10,19,11,13,12,11,6,13,8,15,7,11,7,13,4,12,7,13,7,9,6,13,1,11,3,5,0,4,4,6,2,13,1,2,1,2,0,1,0,4,2,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷南一丁目,4812,7751,3757,3994,25,26,18,18,27,21,27,25,18,26,32,18,23,12,35,18,20,20,26,21,18,16,24,15,17,28,24,20,22,18,16,19,14,14,20,18,18,27,19,9,22,24,33,22,32,35,39,53,48,49,55,66,59,78,75,91,71,80,72,89,86,64,71,68,69,64,53,73,60,70,76,55,61,70,57,59,77,73,54,54,60,61,67,68,82,66,59,59,80,65,56,63,63,72,59,63,68,70,58,79,72,56,59,60,67,63,60,66,61,61,54,55,51,50,65,55,48,55,45,46,49,50,35,32,50,39,46,57,46,50,38,32,34,37,37,43,29,31,33,34,36,30,28,42,35,50,28,42,36,34,48,52,24,28,32,20,29,37,21,30,22,35,27,31,20,31,15,37,15,24,16,36,17,29,11,17,12,30,8,16,5,16,3,16,2,7,5,8,7,10,5,4,1,6,2,5,1,3,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷南二丁目,2468,3593,1790,1803,9,11,8,9,6,7,5,9,5,9,8,9,7,7,6,6,5,7,10,7,9,6,6,6,10,10,8,8,10,5,6,9,11,8,9,6,6,8,18,11,12,12,19,15,26,23,23,33,33,41,34,41,45,46,39,43,46,40,48,42,33,40,38,44,34,38,30,33,54,41,31,37,30,34,39,34,36,34,37,23,34,33,45,34,26,24,29,25,21,22,29,27,28,25,31,23,32,35,34,26,26,31,27,23,24,27,29,26,32,16,20,22,23,20,26,22,20,22,19,15,19,15,19,19,20,15,19,18,16,18,17,13,8,12,22,17,12,15,16,22,12,21,18,15,18,13,25,16,16,15,13,24,11,13,8,13,10,13,6,12,8,14,7,12,8,13,5,8,6,8,8,11,8,8,7,7,2,6,5,6,0,3,4,4,5,2,1,10,3,6,0,5,3,3,1,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷南三丁目,5002,7687,3636,4051,27,23,21,29,25,23,26,31,38,24,23,18,26,23,25,26,22,22,21,13,25,22,22,16,18,26,20,12,19,22,10,17,9,12,12,14,18,21,18,28,19,26,24,27,35,40,56,63,53,74,59,69,76,75,72,94,69,78,61,84,84,74,80,75,68,72,73,75,61,70,56,69,64,66,79,79,80,66,83,62,56,73,83,70,60,68,68,73,73,79,60,64,60,70,70,69,69,70,67,66,53,59,71,70,42,68,69,53,54,59,60,61,37,45,53,59,44,42,48,48,48,45,42,42,35,42,30,39,22,32,32,34,32,23,20,32,30,50,21,21,29,32,26,31,33,38,34,39,40,47,25,50,21,29,20,26,23,33,23,27,20,34,17,23,21,22,8,25,20,28,6,20,14,19,11,26,15,15,6,20,12,15,7,9,6,14,6,11,3,11,2,6,1,7,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北一丁目,2967,4595,2191,2404,10,15,16,16,8,14,17,15,6,16,10,9,3,14,10,19,15,9,6,8,8,14,6,15,10,11,14,8,11,15,9,10,11,11,7,7,20,12,15,14,9,15,13,26,24,23,22,32,28,39,44,38,47,43,41,46,36,43,36,46,27,34,48,44,37,48,46,33,50,44,54,39,37,39,44,43,47,28,36,38,30,37,42,26,29,39,46,52,41,38,28,30,40,47,39,32,44,47,44,42,32,34,37,46,44,31,31,43,38,38,42,36,25,35,36,32,39,28,24,30,22,22,31,26,20,19,19,20,22,15,16,11,19,20,15,21,19,22,14,27,13,23,22,27,22,20,33,28,25,30,27,32,10,15,19,15,10,16,20,20,11,23,22,21,10,22,14,16,13,16,8,16,11,16,6,14,7,11,7,11,3,12,2,14,3,12,1,3,5,3,0,9,0,4,0,4,0,4,1,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北二丁目,2858,4398,2109,2289,13,13,14,17,13,10,7,13,14,9,14,8,7,10,10,10,14,10,16,6,9,16,14,9,10,9,11,7,6,4,11,9,10,7,8,12,15,8,17,11,17,24,15,18,29,28,30,35,34,33,38,44,37,45,41,46,33,39,43,34,29,42,40,43,27,48,33,47,37,47,55,37,33,46,53,37,42,32,34,53,40,46,35,41,36,34,38,37,32,35,46,34,41,39,30,26,34,38,40,34,24,27,31,42,37,31,30,35,33,32,43,42,29,27,38,26,33,38,32,32,27,19,29,16,26,28,11,22,17,13,13,25,16,18,20,20,15,26,36,16,16,23,16,21,16,30,24,24,21,35,23,24,6,11,18,22,20,23,21,6,9,17,16,11,9,19,6,13,4,13,10,16,6,10,0,17,4,12,5,12,3,8,3,14,3,8,2,6,1,7,1,2,0,1,1,3,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
